"ISSN","Título","Área de Avaliação","Estrato"
"2326-9006","AMERICAN JOURNAL OF THEORETICAL AND APPLIED STATISTICS","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"2278-0904","AMITY BUSINESS JOURNAL","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"2238-2925","ANAIS BRASILEIROS DE ESTUDOS TURÍSTICOS","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"0001-3765","ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"2448-2811","ANAIS DA ACADEMIA PERNAMBUCANA DE CIÊNCIA AGRONÔMICA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B5"
"1844-7007","ANALELE UNIVERSIT¿¿II CONSTANTIN BRÂNCU¿I DIN TÂRGU-JIU : SERIA ECONOMIE","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"1697-7904","ANALES DE DOCUMENTACIÓN (INTERNET)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"0211-9803","ANALES DE GEOGRAFÍA DE LA UNIVERSIDAD COMPLUTENSE","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"2156-6909","ANATOLIA AN INTERNATIONAL JOURNAL OF TOURISM AND HOSPITALITY (ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"0377-8401","ANIMAL FEED SCIENCE AND TECHNOLOGY (PRINT)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"1806-9614","ANIMAL REPRODUCTION","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"1344-3941","ANIMAL SCIENCE JOURNAL","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"1677-907X","ANIMUS (SANTA MARIA)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"2175-4977","Animus  Revista do Programa de Pós Graduação da UFSM","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"2175-4977","ANIMUS (SANTA MARIA. ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"1614-2446","ANNALS OF FINANCE (PRINT)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"0254-5330","ANNALS OF OPERATION RESEARCH","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"1572-9338","Annals of Operations Research","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"0160-7383","ANNALS OF TOURISM RESEARCH","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"1984-4921","ANTARES: LETRAS E HUMANIDADES","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"2239-625X","ANUAC RIVISTA DELL'ASSOCIAZIONE NAZIONALI UNIVERSITARIA ANTROPOLOGI CULTURALI","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"1852-5784","ANUARIO CEEED - CENTRO DE ESTUDIOS ECONÓMICOS DE LA EMPRESA Y EL DESARROLLO","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B5"
"2224-9699","ANUARIO DE DERECHO PENAL ECONÓMICO Y DE LA EMPRESA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B5"
"1856-9536","Anuario Estudios en Comunicación Social Disertaciones","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"1983-7364","ANUÁRIO BRASILEIRO DE SEGURANÇA PÚBLICA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B5"
"1519-0846","ANÁLISE (JUNDIAÍ)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B5"
"1516-2680","ANÁLISE (PUCRS)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B5"
"1980-6302","ANÁLISE (PUCRS. ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B5"
"0102-9924","ANÁLISE ECONÔMICA (UFRGS)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"0888-4080","APPLIED COGNITIVE PSYCHOLOGY (PRINT)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"1466-4283","APPLIED ECONOMICS (ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"0003-6846","APPLIED ECONOMICS (PRINT)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"1350-4851","APPLIED ECONOMICS LETTERS (PRINT)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"0960-3107","APPLIED FINANCIAL ECONOMICS (PRINT)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"0307-904X","APPLIED MATHEMATICAL MODELLING","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"1312-885X","APPLIED MATHEMATICAL SCIENCES (RUSE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"2152-7385","APPLIED MATHEMATICS","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"1524-1904","Applied Stochastic Models in Business and Industry","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"1657-5997","AQUICHAN (BOGOTÁ)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"2318-6186","ARCHEION ONLINE","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B5"
"2054-7404","ARCHIVES OF BUSINESS RESEARCH","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"1068-2341","ARCHIVOS ANALÍTICOS DE POLÍTICAS EDUCATIVAS / EDUCATION POLICY ANALYSIS ARCHIVES","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"1698-9465","ARCHIVOS DE MEDICINA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"0004-0622","ARCHIVOS LATINOAMERICANOS DE NUTRICIÓN","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"1022-1301","ARCHIVOS LATINOAMERICANOS DE PRODUCCIÓN ANIMAL","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"0103-9253","ARIÚS: REVISTA DE CIÊNCIAS HUMANAS E ARTES (UFCG)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"0873-593X","ARKEOS PERSPECTIVAS EM DIÁLOGO","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B5"
"1982-9930","ARQUITETURISMO (SÃO PAULO)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"0102-0935","ARQUIVO BRASILEIRO DE MEDICINA VETERINÁRIA E ZOOTECNIA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"1809-5267","ARQUIVOS BRASILEIROS DE PSICOLOGIA (ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"1808-1657","ARQUIVOS DO INSTITUTO BIOLÓGICO (ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"2175-0106","ARS VETERINÁRIA Jaboticabal","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
