"ISSN","TITULO","AREA DE AVALIACAO","ESTRATO"
"1390-1230","AMERICA LATINA EN MOVIMIENTO","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"1945-7731","AMERICAN ECONOMIC JOURNAL: ECONOMIC POLICY","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A1"
"0002-9092","AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A1"
"1467-8276","AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS (ONLINE)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A1"
"1945-5488","AMERICAN JOURNAL OF ECONOMICS AND BUSINESS ADMINISTRATION","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"2328-5699","AMERICAN JOURNAL OF ENVIRONMENTAL PROTECTION","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"0271-3586","AMERICAN JOURNAL OF INDUSTRIAL MEDICINE (PRINT)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A2"
"2328-4099","AMERICAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH (ONLINE)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"0092-5853","AMERICAN JOURNAL OF POLITICAL SCIENCE","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A1"
"2326-9006","AMERICAN JOURNAL OF THEORETICAL AND APPLIED STATISTICS","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"1506-8900","AMERYKA LACINSKA","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B3"
"1692-2522","ANAGRAMAS RUMBOS Y SENTIDOS DE LA COMUNICACION","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B1"
"2238-2925","ANAIS BRASILEIROS DE ESTUDOS TURISTICOS","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B3"
"0001-3765","ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS (IMPRESSO)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A2"
"1678-2690","ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS (ONLINE)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A2"
